Date,AAPL.Open,AAPL.High,AAPL.Low,AAPL.Close,Assets,BUY,SELL
11/24/2020,3100.5,3134.25,3086.26,3118.06,14092.71,---,---
11/25/2020,3141.87,3198.0,3140.26,3185.07,14092.71,3185.07,---
11/27/2020,3211.26,3216.19,3190.05,3195.34,14133.79,---,---
11/30/2020,3208.48,3228.39,3125.55,3168.04,14024.59,---,---
12/1/2020,3188.5,3248.95,3157.18,3220.08,14232.75,---,---
12/2/2020,3221.65,3232.0,3173.26,3203.53,14166.55,---,---
12/3/2020,3205.46,3228.64,3181.31,3186.73,14099.35,---,---
12/4/2020,3198.21,3198.21,3158.76,3162.58,14002.75,---,---
12/7/2020,3156.48,3180.76,3141.69,3158.0,13984.43,---,---
12/8/2020,3158.9,3184.13,3120.02,3177.29,14061.59,---,---
12/9/2020,3167.89,3174.43,3088.0,3104.2,13769.23,---,3104.2
12/10/2020,3088.99,3142.1,3076.0,3101.49,13769.23,---,---
12/11/2020,3096.66,3118.67,3072.82,3116.42,13769.23,---,---
12/14/2020,3143.0,3190.47,3126.0,3156.97,13769.23,---,---
12/15/2020,3181.01,3188.5,3130.49,3165.12,13769.23,---,---
12/16/2020,3176.01,3247.0,3163.68,3240.96,13769.23,3240.96,---
12/17/2020,3250.0,3263.51,3221.0,3236.08,13749.71,---,---
12/18/2020,3243.99,3249.42,3171.6,3201.65,13611.99,---,---
12/21/2020,3200.01,3226.97,3166.0,3206.18,13630.11,---,---
12/22/2020,3202.84,3222.0,3180.08,3206.52,13631.47,---,---
12/23/2020,3205.0,3210.13,3184.17,3185.27,13546.47,---,---
12/24/2020,3193.9,3202.0,3169.0,3172.69,13496.15,---,---
12/28/2020,3194.0,3304.0,3172.69,3283.96,13941.23,---,---
12/29/2020,3309.94,3350.65,3281.22,3322.0,14093.39,---,---
12/30/2020,3341.0,3342.1,3282.47,3285.85,13948.79,---,---
12/31/2020,3275.0,3282.92,3241.2,3256.93,13833.11,---,---
